Book Name,URL,Author
Coldhearted king (Empty Kingdom),https://m.media-amazon.com/images/I/81nLzf+AByL._AC_UY327_FMwebp_QL65_.jpg,Unknown Author
The wrong bride (The Windsors),,Catharina Maura
The temporary wife (The Windsors),,Catharina Maura
The unwanted marriage (The Windsors),,Catharina Maura
The broken vows (The Windsors),,Catharina Maura
Brutal king,,Sienna Cross
The Highest bidder - bought,,Lauren Landish and W Winters
The highest bidder - sold,,Lauren Landish and W Winters
The highest bidder - owned,,Lauren Landish and W Winters
Contractually yours (The Lasker brothers),,Lasker Brothers
Owned by Italian mafia boss,,Unknown Author
Owned by Italian mafia don,,Unknown Author
Sleet kitten,,S J Tilly
Sleet sugar,,S J Tilly
Sleet Banshee,,S J Tilly
Vow of hate,,
God of Malice (LOG),, Rina Kent
God of pain (LOG),, Rina Kent
God of wrath (LOG),, Rina Kent
God of ruin (LOG),, Rina Kent
God of fury (LOG),, Rina Kent
Archer's voice,,
Like Lust Love,,
Death's obsession,,
Bound by honour (BIBMC),,Cora Reilly
Bound by duty (BIBMC),,Cora Reilly
Bound by hatred (BIBMC),,Cora Reilly
Bound by temptation (BIBMC),,Cora Reilly
Bound by love (BIBMC),,Cora Reilly
Paper princess,,
The Alliance - DOM,,
Keeping my bride,,
Captured by a sinner (The Sinners),,Michelle Heard
Taken by a sinner (The Sinners),,Michelle Heard
The risk (Mindfuck series),,C. M. Owens and S. T. Abby
Side tracked (Mindfuck series),,C. M. Owens and S. T. Abby
Scarlett Angel (Mindfuck series),,C. M. Owens and S. T. Abby
All the lies (Mindfuck series),,C. M. Owens and S. T. Abby
Paint it all red (Mindfuck series),,C. M. Owens and S. T. Abby
Cruel King (Royal Elite series),,Rina Kent
Deviant King (Royal Elite series),,Rina Kent
Steel princess (Royal Elite series),,Rina Kent
Twisted Kingdom (Royal Elite series),,Rina Kent
Vicious Prince (Royal Elite series),,Rina Kent
Ruthless Empire (Royal Elite series),,Rina Kent
Reign of Kind (Kingdom Duet),,Rina Kent
Rise of Queen (Kingdom Duet),,Rina Kent
Royal Elite Epilogue,,Rina Kent
Throne of Power (Throne Duet),,Rina Kent
Throne of Vengeance (Throne Duet),,Rina Kent
Punk 57,,Penelope Douglas
Corrupt (Devil's Night),,Penelope Douglas
The wrong wife (Maya Alden),,Maya Alden
Owned by a sinner (The Sinners),,Michelle Heard
Stolen by a sinner (The Sinners),,Michelle Heard
Chosen by a sinner (The Sinners),,Michelle Heard
Consider me (Playing for keeps),,Becka Mack
Play with me (Playing for keeps),,Becka Mack
Unravel me (Playing for keeps),,Becka Mack
The secret Fiance (The Windsors),,Catharina Maura
Andrea: the beginning (UnHoly Trinity),,
Lucan: The end (UnHoly Trinity),,
Fallon (UnHoly Trinity),,
The Predator (The Dark Verse),,
The Reaper (The Dark Verse),,
The Emperor (The Dark Verse),,
Darkest sins (Perfectly Imperfect),,
The Finisher (The Dark Verse),,
Cara The King (UnHoly Trinity),,
The Alliance - Nero,,
The Alliance - King,,
The Alliance - Hans,,
Bound by Vergence (BIBMC),,
Until you (Off-limits),,
Dr. Grant (Off-limits),,
Professor Astor (Off-limits),,
Bittersweet memories (Off-limits),,
Between commitments and betrayals,,
Between love and loathing,,
Spades (Suit),,
Clubs (Suit),,
Merciless saints (The Saints),,
Cruel saints (The Saints),,
Ruthless saints (The Saints),,
Tears of betrayal (The Saints),,
Tears of salvation (The Saints),,
Accidentally yours (Little sky romance),,
Love you wild,,
God of war (LOG),,
Twisted loyalties (Camorra chronicles),,
Twisted emotions (Carmora chronicles),,
Twisted pride (Camorra chronicles),,
Twisted bonds (Camorra chronicles),,
Twisted heart (Camorra chronicles),,
All the lies (RK),,
All the truths (RK),,
Birthday girl (PD),,
Sleet princess,,
Mr. Sin (Sin),,
Sin too (Sin),,
Miss Sin (Sin),,
Alive at night,,
The likelihood of you,,
Red thorns (RK),,
Black thorns (RK),,
Beautiful Beast (Mafia Legacy),,
Destroy me (Corrupted Royals),,
Control me (Corrupted Royals),,
Brutalize me (Corrupted Royals),,
Restrain me (Corrupted Royals),,
Possess me (Corrupted Royals),,
Best served cold (Maya Alden),,
The wrong husband (Maya Alden),,
The prey (Okamount elite),,
Vow of deception (RK),,
Tempted by deception (RK),,
Consumed by deception (RK),,
Off side (Rules of the game),,
King of Sloth,,
Failure to thrive (Elle rivers),,
Under any conditions (Elle rivers),,
Ment for love (Ment for),,
Ment for stone (Ment for),,
Tall Royal and Grumpy (Tall Royals),,
There are no saints,,
There is no devil,,
The devious Husband (The Windsors),,
Reckless King (Empty Kingdom),,
Sinful sacrifice,,
Unperfect,,
Scorpion,,
Contractual Obligations,,
Love Utley,,
Pretty rings and broken things,,
Bright lights and summer nights,,
The silent patient,,
Daydreamer,,
Gold digger,,
The striker,,
The annihilator,,
The syndicate,,
Rook and Rebel,,
Almond,,
Sweet prison,,
Revenge Era,,
Fiery Little thing,,
Skin of Sinner,,
Blood of my monster,,
Lies of my monster,,
Heart of my monster,,
Force of Nature,,
Man of action,,
Between never and forever,,
Between desire and denial,,
Shattered vows,,
Fractured freedom,,
Corrupted chaos,,
What are the odds,,
White Nights,,
